"country","Date","case_type","value"
"Albania",2020-03-31,"Active Cases",176
"Albania",2020-03-31,"Total Cases",243
"Albania",2020-03-31,"Deaths",15
"Albania",2020-03-31,"Recovered",52
"Albania",2020-04-01,"Active Cases",177
"Albania",2020-04-01,"Total Cases",259
"Albania",2020-04-01,"Deaths",15
"Albania",2020-04-01,"Recovered",67
"Albania",2020-04-02,"Active Cases",185
"Albania",2020-04-02,"Total Cases",277
"Albania",2020-04-02,"Deaths",16
"Albania",2020-04-02,"Recovered",76
"Albania",2020-04-03,"Active Cases",198
"Albania",2020-04-03,"Total Cases",304
"Albania",2020-04-03,"Deaths",17
"Albania",2020-04-03,"Recovered",89
"Algeria",2020-01-22,"Active Cases",0
"Algeria",2020-01-22,"Total Cases",0
"Algeria",2020-01-22,"Deaths",0
"Algeria",2020-01-22,"Recovered",0
"Algeria",2020-01-23,"Active Cases",0
"Algeria",2020-01-23,"Total Cases",0
"Algeria",2020-01-23,"Deaths",0
"Algeria",2020-01-23,"Recovered",0
"Algeria",2020-01-24,"Active Cases",0
"Algeria",2020-01-24,"Total Cases",0
"Algeria",2020-01-24,"Deaths",0
"Algeria",2020-01-24,"Recovered",0
"Algeria",2020-01-25,"Active Cases",0
"Algeria",2020-01-25,"Total Cases",0
"Algeria",2020-01-25,"Deaths",0
"Algeria",2020-01-25,"Recovered",0
"Algeria",2020-01-26,"Active Cases",0
"Algeria",2020-01-26,"Total Cases",0
"Algeria",2020-01-26,"Deaths",0
"Algeria",2020-01-26,"Recovered",0
"Algeria",2020-01-27,"Active Cases",0
"Algeria",2020-01-27,"Total Cases",0
"Algeria",2020-01-27,"Deaths",0
"Algeria",2020-01-27,"Recovered",0
"Algeria",2020-01-28,"Active Cases",0
"Algeria",2020-01-28,"Total Cases",0
"Algeria",2020-01-28,"Deaths",0
"Algeria",2020-01-28,"Recovered",0
"Algeria",2020-01-29,"Active Cases",0
"Algeria",2020-01-29,"Total Cases",0
"Algeria",2020-01-29,"Deaths",0
"Algeria",2020-01-29,"Recovered",0
"Algeria",2020-01-30,"Active Cases",0
"Algeria",2020-01-30,"Total Cases",0
"Algeria",2020-01-30,"Deaths",0
"Algeria",2020-01-30,"Recovered",0
"Algeria",2020-01-31,"Active Cases",0
"Algeria",2020-01-31,"Total Cases",0
"Algeria",2020-01-31,"Deaths",0
"Algeria",2020-01-31,"Recovered",0
"Algeria",2020-02-01,"Active Cases",0
"Algeria",2020-02-01,"Total Cases",0
"Algeria",2020-02-01,"Deaths",0
"Algeria",2020-02-01,"Recovered",0
"Algeria",2020-02-02,"Active Cases",0
"Algeria",2020-02-02,"Total Cases",0
"Algeria",2020-02-02,"Deaths",0
"Algeria",2020-02-02,"Recovered",0
"Algeria",2020-02-03,"Active Cases",0
"Algeria",2020-02-03,"Total Cases",0
"Algeria",2020-02-03,"Deaths",0
